TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261156482,train,1,4,2,1979.4323458609656,38.67049099835212,169.62003,195.78331,0.19,0.49,,,826,473,typical,-0.6032159,10.384972,-0.4481022,8.327489
261156475,train,1,4,2,1974.2101437910364,36.69518714076975,198.49759,378.90176,0.37125,0.935,,,653,55,typical,-0.8214448,10.490741,-0.29345563,8.286619
392025997,train,1,4,2,1979.0057099339808,26.473842707752464,170.22755,248.51357,0.195,0.73375,,,820,245,typical,-0.43321472,10.145648,-0.07982912,8.844109
392025991,train,1,4,2,1977.6375030654744,29.623277115730893,189.99171,277.3327,0.32,0.83,,,700,151,typical,-0.47346604,10.290375,-0.10784565,8.836229
392025988,train,1,4,2,1973.1162882094677,28.366898419464313,187.23871,284.84256,0.305,0.84125,,,718,141,typical,-0.49880236,10.24413,-0.032652576,8.862269
261206777,train,1,4,2,1998.3133383828217,52.09018867783208,148.91704,298.75128,0.07125,0.87125,,,935,114,typical,-1.1374576,10.171656,-0.3323947,7.963093
261204347,train,1,4,2,1993.687600869952,53.217362172343016,149.15576,286.96353,0.07375,0.84875,,,933,135,typical,-0.97187656,10.35633,-0.287769,7.8461614
261204335,train,1,4,2,1984.3828540987256,46.99100860806996,165.07082,164.56825,0.155,0.36375,,,856,603,typical,-0.9176305,9.419123,-0.39323378,7.9415874
261204338,train,1,4,2,1987.7467600083976,49.85576223271786,197.70079,205.29948,0.36625,0.55,,,658,419,typical,-0.91264176,10.497882,-0.35613897,7.8042445
261204331,train,1,4,2,1983.2475038385037,49.48039268612683,260.78488,214.19818,0.73125,0.60375,,,293,373,typical,1.8464164,10.424404,-0.39873543,7.9487457
261204330,train,1,4,2,1983.1562037135195,49.96842462620656,220.86264,220.49864,0.51875,0.63625,,,503,342,typical,0.87487113,10.217212,-0.34369478,7.90651
261204324,train,1,4,2,1980.8257460080824,51.16013809295764,209.32352,186.56851,0.445,0.43875,,,580,524,typical,-0.79693496,10.5532255,-0.3912435,7.9105988
261206757,train,1,4,2,1993.4130326291736,62.73775984323131,254.24028,359.0703,0.69875,0.92375,,,322,64,typical,-1.1788099,10.490379,-0.3277959,7.8135285
261206763,train,1,4,2,1993.6171515067135,58.750790729669674,157.90944,390.4017,0.10875,0.9425,,,899,48,typical,-1.0604199,10.501021,-0.35516858,7.879621
261206756,train,1,4,2,1988.8972253311308,57.84517481116915,201.10287,369.23486,0.39,0.93375,,,636,56,typical,-1.203512,10.380257,-0.027825873,7.239724
261204294,train,1,4,2,1972.6880384259,61.57225773383031,537.3658,470.9829,0.985,0.97125,,,16,24,both,6.0000234,8.321033,0.09725393,6.820712
