row,TIC,split,sector,camera,ccd,detector_x,detector_y,moment_nll,moment_percentile,moment_anomaly,physics_nll,instrument_nll,physics_percentile,instrument_percentile,classification
786,261257395,val,1,4,2,1984.8243378203333,123.22199509452312,214.70917,0.235,False,234.61604,287.05545,0.59625,0.85,typical
791,261238939,val,1,4,2,1982.6054932055117,109.81214431684282,301.29883,0.44,False,205.61893,257.22208,0.4225,0.7775,typical
798,261238920,val,1,4,2,1972.7991811027473,115.37582360417696,304.69235,0.44375,False,227.23608,256.4581,0.55125,0.775,typical
838,261206705,val,1,4,2,1971.505726585498,78.10014233094452,267.48697,0.3525,False,211.88544,344.35236,0.4625,0.91375,typical
848,261206691,val,1,4,2,1964.2391907423785,80.31230447933547,311.2558,0.46375,False,172.67384,187.33063,0.2075,0.4425,typical
856,261206678,val,1,4,2,1960.0342954480554,84.12753738672453,287.30063,0.4025,False,156.64746,146.4701,0.10375,0.28125,typical
862,261204227,val,1,4,2,1941.4336910207908,90.16429590999616,449.16656,0.67625,False,178.94095,240.79482,0.25,0.70625,typical
895,392025867,val,1,4,2,1922.2460713170053,77.76955238354142,384.39197,0.57875,False,179.83646,225.53326,0.25625,0.66125,typical
903,261206647,val,1,4,2,1954.446774673684,99.56677418976386,223.69806,0.2625,False,235.52623,215.40567,0.6025,0.605,typical
906,261206643,val,1,4,2,1954.1516641087883,101.83634926136756,199.18875,0.1975,False,216.36017,233.10689,0.485,0.68125,typical
907,261206646,val,1,4,2,1951.4315390962593,97.1339082789041,161.86884,0.11375,False,210.65599,215.98917,0.45125,0.6075,typical
918,261204210,val,1,4,2,1935.3477378290245,97.0247326984636,338.877,0.52375,False,206.08372,203.19666,0.425,0.53375,typical
922,261204197,val,1,4,2,1930.6291690206335,102.25382733908953,195.84668,0.19375,False,324.35327,93.09921,0.9025,0.07875,typical
939,261204183,val,1,4,2,1923.0330116004757,106.54086404600395,602.48083,0.8125,False,259.34305,195.23021,0.725,0.48625,typical
994,261259955,val,1,4,2,1971.2707356626875,160.3021627421197,160.08423,0.10875,False,236.08495,167.10103,0.6075,0.3775,typical
1004,261238843,val,1,4,2,1949.5730748154613,151.00487617501176,202.0632,0.205,False,380.9878,174.58246,0.94875,0.4,typical
1099,261236132,val,1,4,2,1911.8295819325933,152.93358400614565,317.24887,0.4775,False,240.87437,108.81694,0.6375,0.135,typical
1102,261236127,val,1,4,2,1913.9539284528125,158.02788256390437,678.68134,0.8525,False,226.2538,189.70697,0.54875,0.455,typical
1111,261238766,val,1,4,2,1919.4131095131731,169.98034763197438,678.5124,0.8525,False,245.84715,170.25534,0.65875,0.3875,typical
1125,261238736,val,1,4,2,1901.9116983818774,176.8191473250802,675.78516,0.8525,False,188.90033,133.94646,0.31375,0.23,typical
1126,261236076,val,1,4,2,1897.6993524348413,171.38556142728305,481.8111,0.70875,False,214.39839,158.30998,0.46875,0.33375,typical
1132,261206576,val,1,4,2,1929.2206136486125,122.34141712322094,991.9205,0.9125,False,267.52774,141.93562,0.76,0.26,typical
